City,MSE,MAE,Feature Importance
Alberta,3.001298140321729,1.1782150655510868,[0.61291212 0.38708788]
British Columbia,2.341800978488342,0.9245379317762957,[0.45625292 0.54374708]
Canada,4.407212068233078,1.5834072495613691,[0.43627234 0.56372766]
Manitoba,2.142299109042484,0.7769780846366584,[0.52994028 0.47005972]
New Brunswick,0.934405786105733,0.8228673000774512,[0.75538305 0.24461695]
Newfoundland and Labrador,5.195901043688121,1.6296363613536642,[0.85623588 0.14376412]
Nova Scotia,3.947052716374604,1.319550036519085,[0.53309403 0.46690597]
Ontario,1.9065428736943695,0.8658384585195084,[0.39017849 0.60982151]
Prince Edward Island,3.812850887416596,1.1397664753654577,[0.76964795 0.23035205]
Quebec,5.684391833402629,1.3625485567864215,[0.13656473 0.86343527]
Saskatchewan,3.535444622185586,1.0398883010206086,[0.48845169 0.51154831]
