GEO,Mean Unemployment,Median Unemployment,Standard Deviation,Minimum Unemployment,Maximum Unemployment
Alberta,8.107407407407408,7.6,2.6258405196548162,4.7,15.9
British Columbia,6.20925925925926,5.25,2.220425636446337,4.2,13.1
Canada,7.02962962962963,6.1,2.17833497342902,5.0,14.1
Manitoba,6.096296296296296,5.7,1.8076319297829768,3.7,11.8
New Brunswick,9.86111111111111,9.6,1.8559864047430934,6.3,15.1
Newfoundland and Labrador,15.151851851851852,14.6,2.7445823644038283,11.2,23.7
Nova Scotia,8.812962962962963,8.6,1.8003192899516984,5.2,13.8
Ontario,7.022222222222222,5.85,2.208103999009161,4.8,13.7
Prince Edward Island,9.974074074074075,10.1,1.7435796171101445,4.9,13.4
Quebec,6.21111111111111,5.55,2.530468423089206,4.0,18.5
Saskatchewan,6.52962962962963,6.0,1.7114078536017272,4.6,12.4
